ticker,style,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,stop_loss,take_profit,entry_atr,n_adds,result_eur,result_pct
MS,VALUE,2025-03-04,116.4777,3.1238,2025-03-10,105.9606,stop_loss_atr,105.9606,128.4519,3.9914,1,-32.85,-9.03
NOW,VALUE,2025-03-04,181.2633,0.7084,2025-03-10,162.2523,stop_loss_atr,162.2523,200.2743,6.337,0,-13.47,-10.49
HON,VALUE,2025-02-06,189.2741,2.7871,2025-03-11,191.054,value_trailing_stop,191.0539859961242,203.42180000000002,4.7159,1,4.96,0.94
ABT,MOMENTUM,2025-03-06,131.7984,1.3759,2025-03-11,129.2191,trailing_stop,129.21905746114962,139.6182,2.6066,0,-3.55,-1.96
AZO,MOMENTUM,2025-03-10,3691.0426,0.0174,2025-03-11,3553.8188,trailing_stop,3553.8188,3896.8783,68.6119,0,-2.39,-3.72
PG,MOMENTUM,2025-03-04,167.3365,0.805,2025-03-12,165.8685,trailing_stop,165.8685051879929,176.9422,3.2019,0,-1.18,-0.88
GILD,MOMENTUM,2025-03-07,113.6003,0.8535,2025-03-12,109.7198,trailing_stop,109.71980202504326,121.1828,2.5275,0,-3.31,-3.42
CTRA,VALUE,2025-02-25,26.2657,7.0278,2025-03-24,28.5217,take_profit_atr,27.06713306153802,28.5217,0.752,0,15.85,8.59
ABBV,MOMENTUM,2025-03-21,201.5721,0.4789,2025-03-25,193.1669,trailing_stop,193.1669,214.1799,4.2026,0,-4.03,-4.17
ETN,VALUE,2025-02-27,278.1212,0.00010000000000000076,2025-03-25,295.4555,EMA-50 abaixo de EMA-200 — tendência inv,254.0324,309.1688,10.3492,1,0.0,6.23
BAC,VALUE,2025-03-10,38.9636,1.6488,2025-03-26,42.7106,take_profit_atr,40.26027076448614,42.7106,1.249,0,6.18,9.62
GM,VALUE,2025-01-31,47.3313,9.1737,2025-03-28,48.8299,value_trailing_stop,48.82993193060705,53.2164,1.9617,1,13.75,3.17
COIN,VALUE,2025-02-24,198.8639,0.41839999999999977,2025-03-28,173.7598,stop_loss_atr,173.7598,252.23090000000002,17.789,2,-10.5,-12.62
GOOGL,VALUE,2025-02-27,166.4925,2.4913999999999996,2025-03-28,153.5921,stop_loss_atr,153.5921,180.6669,4.7248,1,-32.14,-7.75
A,VALUE,2025-03-04,124.2138,9.999999999975218e-05,2025-03-31,113.3634,stop_loss_atr,113.36340000000001,135.0642,3.6168,1,-0.0,-8.74
